Feature,Objetivo,Producto,Herramientas,Cliente,Req. Integración
Acciones automáticas,Automatizar interacciones clave para mejorar la retención de clientes.,Retención,,Todos,
Agregar fecha despacho,Permite seleccionar y especificar la fecha de despacho de los pedidos,Venta,"APP, B2B",Todos,"Variable por integración: En la colección commerces, en un array llamado deliveryDays. Aquí se cargan las fechas en formato ISO 8601, que determinan todas las fechas disponibles. La estructura se muestra aquí: https://docs.yom.ai/Comercios-e7b673e8bad145ad83c1da4ac87afadc

Particularidad de la app 
1. Hacer la activación de la variable de sitio enableAskDeliveryDate en las observaciones. Aquí se activa el calendario."
Agregar observaciones,Permite a los usuarios agregar notas u observaciones a sus pedidos,Venta,"APP, B2B","Bastién, Cedisur, Codelpa Perú, Coéxito, ExpressDent, GlobalWines, Marley Coffee, Prisa, Surtiventas","B2B. 
Esta funcionalidad viene activa por defecto.
APP. 
Esta funcionalidad viene activa por defecto."
Anuncio,Publicar anuncios,Marketing,B2B,Todos,Pendiente validar.
Banners,Mostrar contenido promocional o informativo en la plataforma a través de banners,Marketing,B2B,Todos,Esta funcionalidad viene activa por defecto y es editable desde Administrador. Se edita con una imagen y una URL.
Bloqueo,Restringir la capacidad de venta a usuarios en función de su estado crediticio y otros criterios.,Ejecución del punto,"APP, Admin",Soprole,
Bloqueo de carro en casos de precios anómalos,,,"B2B, APP",Soprole,"B2B y APP. 
Esta funcionalidad requiere la activación de la variable de entorno(pendiente nombre variable y estructura)."
Botones de acceso configurables (deprecado),,Marketing,,Soprole,"Esta funcionalidad requiere estructuración de los textos en los botones y las rutas a las que los llevan, por medio de las variables de entorno(pendiente nombres de variables y estructura)."
Búsqueda de comercios,Búsqueda de comercios específicos dentro de la plataforma,Venta,APP,Todos,
Búsqueda de productos,Búsqueda de productos específicos dentro de la plataforma,Venta,"APP, B2B",Todos,"B2B y APP. 
Esta funcionalidad viene activa por defecto. No requiere ningún tipo de integración."
Cambio de contraseña,,,"APP, B2B, Admin","Coéxito, Soprole","En todas las herramientas estas funcionalidades vienen activas por defecto.
Nota: Cambio de contraseña no funciona en staging para ninguna de las herramientas."
Cambios de formato,"Ofrece la posibilidad de seleccionar diferentes formatos de presentación de los productos, como pack, unidad, caja, entre otros",Venta,APP,"Prisa, Softys-Cencocal, Surtiventas",
